"id"	"gene"	"description"
"R-DRE-1483191"	"SLC44A1B"	"Synthesis of PC"
"R-DRE-425366"	"SLC44A1B"	"Transport of bile salts and organic acids, metal ions and amine compounds"
"R-DRE-6798163"	"SLC44A1B"	"Choline catabolism"
"R-DRE-3214842"	"KDM5C"	"HDMs demethylate histones"
"R-DRE-5389840"	"MRPL24"	"Mitochondrial translation elongation"
"R-DRE-5419276"	"MRPL24"	"Mitochondrial translation termination"
"R-DRE-9013419"	"TRAK1"	"RHOT2 GTPase cycle"
"R-DRE-9013425"	"TRAK1"	"RHOT1 GTPase cycle"
"R-DRE-432047"	"AQP8A.1"	"Passive transport by Aquaporins"
"R-DRE-74259"	"DNPH1"	"Purine catabolism"
"R-DRE-4615885"	"TOP1L"	"SUMOylation of DNA replication proteins"
"R-DRE-418594"	"INSL5A"	"G alpha (i) signalling events"
"R-DRE-444821"	"INSL5A"	"Relaxin receptors"
"R-DRE-975957"	"SMG1"	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"R-DRE-202733"	"F11R.1"	"Cell surface interactions at the vascular wall"
"R-DRE-216083"	"F11R.1"	"Integrin cell surface interactions"
"R-DRE-2173791"	"F11R.1"	"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"
"R-DRE-420029"	"F11R.1"	"Tight junction interactions"
"R-DRE-110314"	"DTL"	"Recognition of DNA damage by PCNA-containing replication complex"
"R-DRE-8951664"	"DTL"	"Neddylation"
"R-DRE-8980692"	"ARHGDIG"	"RHOA GTPase cycle"
"R-DRE-9013148"	"ARHGDIG"	"CDC42 GTPase cycle"
"R-DRE-9013149"	"ARHGDIG"	"RAC1 GTPase cycle"
"R-DRE-9013407"	"ARHGDIG"	"RHOH GTPase cycle"
"R-DRE-9013408"	"ARHGDIG"	"RHOG GTPase cycle"
"R-DRE-9013423"	"ARHGDIG"	"RAC3 GTPase cycle"
"R-DRE-72163"	"PRCC"	"mRNA Splicing - Major Pathway"
"R-DRE-6798695"	"CNN2"	"Neutrophil degranulation"
"R-DRE-375165"	"NCAM1B"	"NCAM signaling for neurite out-growth"
"R-DRE-419037"	"NCAM1B"	"NCAM1 interactions"
"R-DRE-5673001"	"NCAM1B"	"RAF/MAP kinase cascade"
"R-DRE-5663220"	"FMNL3"	"RHO GTPases Activate Formins"
"R-DRE-8980692"	"FMNL3"	"RHOA GTPase cycle"
"R-DRE-9013106"	"FMNL3"	"RHOC GTPase cycle"
"R-DRE-9013148"	"FMNL3"	"CDC42 GTPase cycle"
"R-DRE-9013409"	"FMNL3"	"RHOJ GTPase cycle"
"R-DRE-212436"	"MED7"	"Generic Transcription Pathway"
"R-DRE-77288"	"ECI1"	"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids"
"R-DRE-8856825"	"SGIP1A"	"Cargo recognition for clathrin-mediated endocytosis"
"R-DRE-8856828"	"SGIP1A"	"Clathrin-mediated endocytosis"
"R-DRE-141444"	"PPP2R5D"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-180024"	"PPP2R5D"	"DARPP-32 events"
"R-DRE-195253"	"PPP2R5D"	"Degradation of beta-catenin by the destruction complex"
"R-DRE-196299"	"PPP2R5D"	"Beta-catenin phosphorylation cascade"
"R-DRE-198753"	"PPP2R5D"	"ERK/MAPK targets"
"R-DRE-202670"	"PPP2R5D"	"ERKs are inactivated"
"R-DRE-2467813"	"PPP2R5D"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"PPP2R5D"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-389513"	"PPP2R5D"	"CTLA4 inhibitory signaling"
"R-DRE-432142"	"PPP2R5D"	"Platelet sensitization by LDL"
"R-DRE-5663220"	"PPP2R5D"	"RHO GTPases Activate Formins"
"R-DRE-5673000"	"PPP2R5D"	"RAF activation"
"R-DRE-5675221"	"PPP2R5D"	"Negative regulation of MAPK pathway"
"R-DRE-6811558"	"PPP2R5D"	"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"R-DRE-9648025"	"PPP2R5D"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-418990"	"MLLT4A"	"Adherens junctions interactions"
"R-DRE-114508"	"PRKCEA"	"Effects of PIP2 hydrolysis"
"R-DRE-1250196"	"PRKCEA"	"SHC1 events in ERBB2 signaling"
"R-DRE-1489509"	"PRKCEA"	"DAG and IP3 signaling"
"R-DRE-2029485"	"PRKCEA"	"Role of phospholipids in phagocytosis"
"R-DRE-6807505"	"INTS6"	"RNA polymerase II transcribes snRNA genes"
"R-DRE-432722"	"SNAPIN"	"Golgi Associated Vesicle Biogenesis"
"R-DRE-1222556"	"ATP6V1F"	"ROS and RNS production in phagocytes"
"R-DRE-77387"	"ATP6V1F"	"Insulin receptor recycling"
"R-DRE-917977"	"ATP6V1F"	"Transferrin endocytosis and recycling"
"R-DRE-9639288"	"ATP6V1F"	"Amino acids regulate mTORC1"
"R-DRE-983712"	"ATP6V1F"	"Ion channel transport"
"R-DRE-141444"	"NDEL1B"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-2467813"	"NDEL1B"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"NDEL1B"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-5663220"	"NDEL1B"	"RHO GTPases Activate Formins"
"R-DRE-9648025"	"NDEL1B"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-156827"	"RPL32"	"L13a-mediated translational silencing of Ceruloplasmin expression"
"R-DRE-1799339"	"RPL32"	"SRP-dependent cotranslational protein targeting to membrane"
"R-DRE-6791226"	"RPL32"	"Major pathway of rRNA processing in the nucleolus and cytosol"
"R-DRE-72689"	"RPL32"	"Formation of a pool of free 40S subunits"
"R-DRE-72706"	"RPL32"	"GTP hydrolysis and joining of the 60S ribosomal subunit"
"R-DRE-975956"	"RPL32"	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"R-DRE-975957"	"RPL32"	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"R-DRE-113418"	"NELFB"	"Formation of the Early Elongation Complex"
"R-DRE-674695"	"NELFB"	"RNA Polymerase II Pre-transcription Events"
"R-DRE-6796648"	"NELFB"	"TP53 Regulates Transcription of DNA Repair Genes"
"R-DRE-75955"	"NELFB"	"RNA Polymerase II Transcription Elongation"
"R-DRE-8849468"	"KHDRBS1B"	"PTK6 Regulates Proteins Involved in RNA Processing"
"R-DRE-381426"	"SHISA4"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"
"R-DRE-8957275"	"SHISA4"	"Post-translational protein phosphorylation"
"R-DRE-2299718"	"SMC2"	"Condensation of Prophase Chromosomes"
"R-DRE-2514853"	"SMC2"	"Condensation of Prometaphase Chromosomes"
"R-DRE-2565942"	"PCNT"	"Regulation of PLK1 Activity at G2/M Transition"
"R-DRE-380259"	"PCNT"	"Loss of Nlp from mitotic centrosomes"
"R-DRE-380270"	"PCNT"	"Recruitment of mitotic centrosome proteins and complexes"
"R-DRE-380284"	"PCNT"	"Loss of proteins required for interphase microtubule organization from the centrosome"
"R-DRE-380320"	"PCNT"	"Recruitment of NuMA to mitotic centrosomes"
"R-DRE-5620912"	"PCNT"	"Anchoring of the basal body to the plasma membrane"
"R-DRE-8854518"	"PCNT"	"AURKA Activation by TPX2"
"R-DRE-9646399"	"PCNT"	"Aggrephagy"
"R-DRE-203615"	"DDAH2"	"eNOS activation"
"R-DRE-193648"	"PREX1"	"NRAGE signals death through JNK"
"R-DRE-416482"	"PREX1"	"G alpha (12/13) signalling events"
"R-DRE-8980692"	"PREX1"	"RHOA GTPase cycle"
"R-DRE-9013106"	"PREX1"	"RHOC GTPase cycle"
"R-DRE-9013148"	"PREX1"	"CDC42 GTPase cycle"
"R-DRE-9013149"	"PREX1"	"RAC1 GTPase cycle"
"R-DRE-9013404"	"PREX1"	"RAC2 GTPase cycle"
"R-DRE-9013406"	"PREX1"	"RHOQ GTPase cycle"
"R-DRE-9013408"	"PREX1"	"RHOG GTPase cycle"
"R-DRE-9013409"	"PREX1"	"RHOJ GTPase cycle"
"R-DRE-9013423"	"PREX1"	"RAC3 GTPase cycle"
"R-DRE-156590"	"AKR1A1B"	"Glutathione conjugation"
"R-DRE-5661270"	"AKR1A1B"	"Formation of xylulose-5-phosphate"
"R-DRE-8856825"	"NECAP2"	"Cargo recognition for clathrin-mediated endocytosis"
"R-DRE-8856828"	"NECAP2"	"Clathrin-mediated endocytosis"
"R-DRE-2162123"	"PTGESL"	"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"
"R-DRE-6798695"	"PTGESL"	"Neutrophil degranulation"
"R-DRE-5628897"	"COX7A3"	"TP53 Regulates Metabolic Genes"
"R-DRE-611105"	"COX7A3"	"Respiratory electron transport"
"R-DRE-9707564"	"COX7A3"	"Cytoprotection by HMOX1"
"R-DRE-1369062"	"ABCA12"	"ABC transporters in lipid homeostasis"
"R-DRE-499943"	"AK6"	"Interconversion of nucleotide di- and triphosphates"
"R-DRE-983168"	"ANAPC13"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-72163"	"SNRNP200"	"mRNA Splicing - Major Pathway"
"R-DRE-72165"	"SNRNP200"	"mRNA Splicing - Minor Pathway"
"R-DRE-6804758"	"BRD7"	"Regulation of TP53 Activity through Acetylation"
"R-DRE-6811440"	"TMF1"	"Retrograde transport at the Trans-Golgi-Network"
"R-DRE-197264"	"PTGS2B"	"Nicotinamide salvaging"
"R-DRE-2142770"	"PTGS2B"	"Synthesis of 15-eicosatetraenoic acid derivatives"
"R-DRE-2162123"	"PTGS2B"	"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)"
"R-DRE-9018677"	"PTGS2B"	"Biosynthesis of DHA-derived SPMs"
"R-DRE-9018679"	"PTGS2B"	"Biosynthesis of EPA-derived SPMs"
"R-DRE-9025094"	"PTGS2B"	"Biosynthesis of DPAn-3 SPMs"
"R-DRE-9027604"	"PTGS2B"	"Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives"
"R-DRE-212436"	"MED15"	"Generic Transcription Pathway"
"R-DRE-141444"	"PMF1"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-2467813"	"PMF1"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"PMF1"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-5663220"	"PMF1"	"RHO GTPases Activate Formins"
"R-DRE-9648025"	"PMF1"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-139910"	"DYNLL2B"	"Activation of BMF and translocation to mitochondria"
"R-DRE-141444"	"DYNLL2B"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-1632852"	"DYNLL2B"	"Macroautophagy"
"R-DRE-2467813"	"DYNLL2B"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"DYNLL2B"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-3371497"	"DYNLL2B"	"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand"
"R-DRE-5620924"	"DYNLL2B"	"Intraflagellar transport"
"R-DRE-5663220"	"DYNLL2B"	"RHO GTPases Activate Formins"
"R-DRE-6807878"	"DYNLL2B"	"COPI-mediated anterograde transport"
"R-DRE-9646399"	"DYNLL2B"	"Aggrephagy"
"R-DRE-9648025"	"DYNLL2B"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-6811434"	"KIFC1"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-983189"	"KIFC1"	"Kinesins"
"R-DRE-8866652"	"CDC34B"	"Synthesis of active ubiquitin: roles of E1 and E2 enzymes"
"R-DRE-983168"	"CDC34B"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-446353"	"PARVB"	"Cell-extracellular matrix interactions"
"R-DRE-446388"	"PARVB"	"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"
"R-DRE-5658442"	"DAB2IPA"	"Regulation of RAS by GAPs"
"R-DRE-8866652"	"CDC34A"	"Synthesis of active ubiquitin: roles of E1 and E2 enzymes"
"R-DRE-983168"	"CDC34A"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-110329"	"TDG.2"	"Cleavage of the damaged pyrimidine "
"R-DRE-110357"	"TDG.2"	"Displacement of DNA glycosylase by APEX1"
"R-DRE-3108214"	"TDG.2"	"SUMOylation of DNA damage response and repair proteins"
"R-DRE-5221030"	"TDG.2"	"TET1,2,3 and TDG demethylate DNA"
"R-DRE-216083"	"COMP"	"Integrin cell surface interactions"
"R-DRE-3000178"	"COMP"	"ECM proteoglycans"
"R-DRE-162710"	"PIGQ"	"Synthesis of glycosylphosphatidylinositol (GPI)"
"R-DRE-110314"	"CUL4B"	"Recognition of DNA damage by PCNA-containing replication complex"
"R-DRE-5696394"	"CUL4B"	"DNA Damage Recognition in GG-NER"
"R-DRE-5696395"	"CUL4B"	"Formation of Incision Complex in GG-NER"
"R-DRE-5696400"	"CUL4B"	"Dual Incision in GG-NER"
"R-DRE-6781823"	"CUL4B"	"Formation of TC-NER Pre-Incision Complex"
"R-DRE-6782135"	"CUL4B"	"Dual incision in TC-NER"
"R-DRE-6782210"	"CUL4B"	"Gap-filling DNA repair synthesis and ligation in TC-NER"
"R-DRE-8951664"	"CUL4B"	"Neddylation"
"R-DRE-204005"	"TRAPPC3"	"COPII-mediated vesicle transport"
"R-DRE-8876198"	"TRAPPC3"	"RAB GEFs exchange GTP for GDP on RABs"
"R-DRE-3134963"	"DHX36"	"DEx/H-box helicases activate type I IFN and inflammatory cytokines production "
"R-DRE-193634"	"RTN1B"	"Axonal growth inhibition (RHOA activation)"
"R-DRE-8849932"	"RTN1B"	"Synaptic adhesion-like molecules"
"R-DRE-264876"	"EXOC1"	"Insulin processing"
"R-DRE-5620916"	"EXOC1"	"VxPx cargo-targeting to cilium"
"R-DRE-913709"	"B3GNT5A"	"O-linked glycosylation of mucins"
"R-DRE-141444"	"ERCC6L"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-2467813"	"ERCC6L"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"ERCC6L"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-5663220"	"ERCC6L"	"RHO GTPases Activate Formins"
"R-DRE-9648025"	"ERCC6L"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-156842"	"EEF1G"	"Eukaryotic Translation Elongation"
"R-DRE-3899300"	"CASP8AP2"	"SUMOylation of transcription cofactors"
"R-DRE-1483255"	"TNFAIP8L2B"	"PI Metabolism"
"R-DRE-430039"	"LSM7"	"mRNA decay by 5' to 3' exoribonuclease"
"R-DRE-72163"	"LSM7"	"mRNA Splicing - Major Pathway"
"R-DRE-1474228"	"NID1A"	"Degradation of the extracellular matrix"
"R-DRE-3000157"	"NID1A"	"Laminin interactions"
"R-DRE-6804757"	"PHF20B"	"Regulation of TP53 Degradation"
"R-DRE-6804759"	"PHF20B"	"Regulation of TP53 Activity through Association with Co-factors"
"R-DRE-69541"	"PHF20B"	"Stabilization of p53"
"R-DRE-8854214"	"ARF6B"	"TBC/RABGAPs"
"R-DRE-8856828"	"ARF6B"	"Clathrin-mediated endocytosis"
"R-DRE-8875656"	"ARF6B"	"MET receptor recycling"
"R-DRE-141444"	"NSL1"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-2467813"	"NSL1"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"NSL1"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-5663220"	"NSL1"	"RHO GTPases Activate Formins"
"R-DRE-9648025"	"NSL1"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-5683826"	"TTF1"	"Surfactant metabolism"
"R-DRE-73762"	"TTF1"	"RNA Polymerase I Transcription Initiation"
"R-DRE-73863"	"TTF1"	"RNA Polymerase I Transcription Termination"
"R-DRE-111457"	"DIABLOA"	"Release of apoptotic factors from the mitochondria"
"R-DRE-111463"	"DIABLOA"	"SMAC (DIABLO) binds to IAPs "
"R-DRE-111464"	"DIABLOA"	"SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes "
"R-DRE-111469"	"DIABLOA"	"SMAC, XIAP-regulated apoptotic response"
"R-DRE-9627069"	"DIABLOA"	"Regulation of the apoptosome activity"
"R-DRE-8866652"	"UBE2Z"	"Synthesis of active ubiquitin: roles of E1 and E2 enzymes"
"R-DRE-983168"	"UBE2Z"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-8856828"	"AMPH"	"Clathrin-mediated endocytosis"
"R-DRE-5389840"	"MRPS22"	"Mitochondrial translation elongation"
"R-DRE-5419276"	"MRPS22"	"Mitochondrial translation termination"
"R-DRE-196783"	"SLC25A16"	"Coenzyme A biosynthesis"
"R-DRE-2565942"	"TUBG1"	"Regulation of PLK1 Activity at G2/M Transition"
"R-DRE-380259"	"TUBG1"	"Loss of Nlp from mitotic centrosomes"
"R-DRE-380270"	"TUBG1"	"Recruitment of mitotic centrosome proteins and complexes"
"R-DRE-380284"	"TUBG1"	"Loss of proteins required for interphase microtubule organization from the centrosome"
"R-DRE-380320"	"TUBG1"	"Recruitment of NuMA to mitotic centrosomes"
"R-DRE-5620912"	"TUBG1"	"Anchoring of the basal body to the plasma membrane"
"R-DRE-8854518"	"TUBG1"	"AURKA Activation by TPX2"
"R-DRE-1169091"	"PSMC6"	"Activation of NF-kappaB in B cells"
"R-DRE-1234176"	"PSMC6"	"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"
"R-DRE-1236978"	"PSMC6"	"Cross-presentation of soluble exogenous antigens (endosomes)"
"R-DRE-174084"	"PSMC6"	"Autodegradation of Cdh1 by Cdh1:APC/C"
"R-DRE-174154"	"PSMC6"	"APC/C:Cdc20 mediated degradation of Securin"
"R-DRE-174178"	"PSMC6"	"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
"R-DRE-174184"	"PSMC6"	"Cdc20:Phospho-APC/C mediated degradation of Cyclin A"
"R-DRE-187577"	"PSMC6"	"SCF(Skp2)-mediated degradation of p27/p21"
"R-DRE-195253"	"PSMC6"	"Degradation of beta-catenin by the destruction complex"
"R-DRE-2467813"	"PSMC6"	"Separation of Sister Chromatids"
"R-DRE-349425"	"PSMC6"	"Autodegradation of the E3 ubiquitin ligase COP1"
"R-DRE-350562"	"PSMC6"	"Regulation of ornithine decarboxylase (ODC)"
"R-DRE-382556"	"PSMC6"	"ABC-family proteins mediated transport"
"R-DRE-450408"	"PSMC6"	"AUF1 (hnRNP D0) binds and destabilizes mRNA"
"R-DRE-4608870"	"PSMC6"	"Asymmetric localization of PCP proteins"
"R-DRE-4641257"	"PSMC6"	"Degradation of AXIN"
"R-DRE-4641258"	"PSMC6"	"Degradation of DVL"
"R-DRE-5358346"	"PSMC6"	"Hedgehog ligand biogenesis"
"R-DRE-5607761"	"PSMC6"	"Dectin-1 mediated noncanonical NF-kB signaling"
"R-DRE-5610780"	"PSMC6"	"Degradation of GLI1 by the proteasome"
"R-DRE-5610785"	"PSMC6"	"GLI3 is processed to GLI3R by the proteasome"
"R-DRE-5632684"	"PSMC6"	"Hedgehog 'on' state"
"R-DRE-5658442"	"PSMC6"	"Regulation of RAS by GAPs"
"R-DRE-5668541"	"PSMC6"	"TNFR2 non-canonical NF-kB pathway"
"R-DRE-5676590"	"PSMC6"	"NIK-->noncanonical NF-kB signaling"
"R-DRE-5687128"	"PSMC6"	"MAPK6/MAPK4 signaling"
"R-DRE-5689603"	"PSMC6"	"UCH proteinases"
"R-DRE-5689880"	"PSMC6"	"Ub-specific processing proteases"
"R-DRE-68827"	"PSMC6"	"CDT1 association with the CDC6:ORC:origin complex"
"R-DRE-68949"	"PSMC6"	"Orc1 removal from chromatin"
"R-DRE-69017"	"PSMC6"	"CDK-mediated phosphorylation and removal of Cdc6"
"R-DRE-69481"	"PSMC6"	"G2/M Checkpoints"
"R-DRE-69601"	"PSMC6"	"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"
"R-DRE-75815"	"PSMC6"	"Ubiquitin-dependent degradation of Cyclin D"
"R-DRE-8852276"	"PSMC6"	"The role of GTSE1 in G2/M progression after G2 checkpoint"
"R-DRE-8854050"	"PSMC6"	"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis"
"R-DRE-8932339"	"PSMC6"	"ROS sensing by NFE2L2"
"R-DRE-8939236"	"PSMC6"	"RUNX1 regulates transcription of genes involved in differentiation of HSCs"
"R-DRE-8939902"	"PSMC6"	"Regulation of RUNX2 expression and activity"
"R-DRE-8941858"	"PSMC6"	"Regulation of RUNX3 expression and activity"
"R-DRE-8948751"	"PSMC6"	"Regulation of PTEN stability and activity"
"R-DRE-8951664"	"PSMC6"	"Neddylation"
"R-DRE-983168"	"PSMC6"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-9033241"	"ECH1"	"Peroxisomal protein import"
"R-DRE-159227"	"NUP93"	"Transport of the SLBP independent Mature mRNA"
"R-DRE-159230"	"NUP93"	"Transport of the SLBP Dependant Mature mRNA"
"R-DRE-159231"	"NUP93"	"Transport of Mature mRNA Derived from an Intronless Transcript"
"R-DRE-159236"	"NUP93"	"Transport of Mature mRNA derived from an Intron-Containing Transcript"
"R-DRE-191859"	"NUP93"	"snRNP Assembly"
"R-DRE-3108214"	"NUP93"	"SUMOylation of DNA damage response and repair proteins"
"R-DRE-3232142"	"NUP93"	"SUMOylation of ubiquitinylation proteins"
"R-DRE-3301854"	"NUP93"	"Nuclear Pore Complex (NPC) Disassembly"
"R-DRE-3371453"	"NUP93"	"Regulation of HSF1-mediated heat shock response"
"R-DRE-4085377"	"NUP93"	"SUMOylation of SUMOylation proteins"
"R-DRE-4551638"	"NUP93"	"SUMOylation of chromatin organization proteins"
"R-DRE-4570464"	"NUP93"	"SUMOylation of RNA binding proteins"
"R-DRE-4615885"	"NUP93"	"SUMOylation of DNA replication proteins"
"R-DRE-5578749"	"NUP93"	"Transcriptional regulation by small RNAs"
"R-DRE-9615933"	"NUP93"	"Postmitotic nuclear pore complex (NPC) reformation"
"R-DRE-156827"	"RPL29"	"L13a-mediated translational silencing of Ceruloplasmin expression"
"R-DRE-1799339"	"RPL29"	"SRP-dependent cotranslational protein targeting to membrane"
"R-DRE-6791226"	"RPL29"	"Major pathway of rRNA processing in the nucleolus and cytosol"
"R-DRE-72689"	"RPL29"	"Formation of a pool of free 40S subunits"
"R-DRE-72706"	"RPL29"	"GTP hydrolysis and joining of the 60S ribosomal subunit"
"R-DRE-975956"	"RPL29"	"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"
"R-DRE-975957"	"RPL29"	"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
"R-DRE-112043"	"PLCB3"	"PLC beta mediated events"
"R-DRE-1855204"	"PLCB3"	"Synthesis of IP3 and IP4 in the cytosol"
"R-DRE-399997"	"PLCB3"	"Acetylcholine regulates insulin secretion"
"R-DRE-4086398"	"PLCB3"	"Ca2+ pathway"
"R-DRE-416476"	"PLCB3"	"G alpha (q) signalling events"
"R-DRE-418217"	"PLCB3"	"G beta:gamma signalling through PLC beta"
"R-DRE-434316"	"PLCB3"	"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion"
"R-DRE-500657"	"PLCB3"	"Presynaptic function of Kainate receptors"
"R-DRE-5610785"	"GLI3"	"GLI3 is processed to GLI3R by the proteasome"
"R-DRE-5610787"	"GLI3"	"Hedgehog 'off' state"
"R-DRE-5632684"	"GLI3"	"Hedgehog 'on' state"
"R-DRE-2467813"	"TUBB4B"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"TUBB4B"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-2565942"	"TUBB4B"	"Regulation of PLK1 Activity at G2/M Transition"
"R-DRE-3371497"	"TUBB4B"	"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand"
"R-DRE-380259"	"TUBB4B"	"Loss of Nlp from mitotic centrosomes"
"R-DRE-380270"	"TUBB4B"	"Recruitment of mitotic centrosome proteins and complexes"
"R-DRE-380284"	"TUBB4B"	"Loss of proteins required for interphase microtubule organization from the centrosome"
"R-DRE-380320"	"TUBB4B"	"Recruitment of NuMA to mitotic centrosomes"
"R-DRE-5620912"	"TUBB4B"	"Anchoring of the basal body to the plasma membrane"
"R-DRE-5620924"	"TUBB4B"	"Intraflagellar transport"
"R-DRE-6798695"	"TUBB4B"	"Neutrophil degranulation"
"R-DRE-6807878"	"TUBB4B"	"COPI-mediated anterograde transport"
"R-DRE-6811434"	"TUBB4B"	"COPI-dependent Golgi-to-ER retrograde traffic"
"R-DRE-8854518"	"TUBB4B"	"AURKA Activation by TPX2"
"R-DRE-9646399"	"TUBB4B"	"Aggrephagy"
"R-DRE-9648025"	"TUBB4B"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-983189"	"TUBB4B"	"Kinesins"
"R-DRE-9648002"	"ABHD17AA"	"RAS processing"
"R-DRE-8866654"	"RNF40"	"E3 ubiquitin ligases ubiquitinate target proteins"
"R-DRE-1362409"	"ISCA2"	"Mitochondrial iron-sulfur cluster biogenesis"
"R-DRE-113418"	"GTF2H4"	"Formation of the Early Elongation Complex"
"R-DRE-5696395"	"GTF2H4"	"Formation of Incision Complex in GG-NER"
"R-DRE-5696400"	"GTF2H4"	"Dual Incision in GG-NER"
"R-DRE-674695"	"GTF2H4"	"RNA Polymerase II Pre-transcription Events"
"R-DRE-6781823"	"GTF2H4"	"Formation of TC-NER Pre-Incision Complex"
"R-DRE-6782135"	"GTF2H4"	"Dual incision in TC-NER"
"R-DRE-6782210"	"GTF2H4"	"Gap-filling DNA repair synthesis and ligation in TC-NER"
"R-DRE-6796648"	"GTF2H4"	"TP53 Regulates Transcription of DNA Repair Genes"
"R-DRE-72086"	"GTF2H4"	"mRNA Capping"
"R-DRE-73762"	"GTF2H4"	"RNA Polymerase I Transcription Initiation"
"R-DRE-73772"	"GTF2H4"	"RNA Polymerase I Promoter Escape"
"R-DRE-73776"	"GTF2H4"	"RNA Polymerase II Promoter Escape"
"R-DRE-73779"	"GTF2H4"	"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening"
"R-DRE-73863"	"GTF2H4"	"RNA Polymerase I Transcription Termination"
"R-DRE-75953"	"GTF2H4"	"RNA Polymerase II Transcription Initiation"
"R-DRE-75955"	"GTF2H4"	"RNA Polymerase II Transcription Elongation"
"R-DRE-76042"	"GTF2H4"	"RNA Polymerase II Transcription Initiation And Promoter Clearance"
"R-DRE-77075"	"GTF2H4"	"RNA Pol II CTD phosphorylation and interaction with CE"
"R-DRE-159230"	"SLBP"	"Transport of the SLBP Dependant Mature mRNA"
"R-DRE-8951664"	"SPSB4B"	"Neddylation"
"R-DRE-983168"	"SPSB4B"	"Antigen processing: Ubiquitination & Proteasome degradation"
"R-DRE-5689880"	"PTRH2"	"Ub-specific processing proteases"
"R-DRE-141444"	"NDC80"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"
"R-DRE-2467813"	"NDC80"	"Separation of Sister Chromatids"
"R-DRE-2500257"	"NDC80"	"Resolution of Sister Chromatid Cohesion"
"R-DRE-5663220"	"NDC80"	"RHO GTPases Activate Formins"
"R-DRE-9648025"	"NDC80"	"EML4 and NUDC in mitotic spindle formation"
"R-DRE-1169091"	"PSMD5"	"Activation of NF-kappaB in B cells"
"R-DRE-1234176"	"PSMD5"	"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha"
